tJ2,gxx,gxy,gzz
0,0.25,0,0.25
0.02,0.249994,2.62363e-05,0.249994
0.04,0.249938,5.21417e-05,0.249939
0.06,0.249832,7.76823e-05,0.249834
0.08,0.249677,0.000102827,0.249681
0.1,0.249472,0.000127545,0.249478
0.12,0.249218,0.00015181,0.249227
0.14,0.248914,0.000175594,0.248927
0.16,0.248561,0.000198872,0.248578
0.18,0.24816,0.000221622,0.248181
0.2,0.24771,0.00024382,0.247737
0.22,0.247211,0.000265447,0.247244
0.24,0.246665,0.000286484,0.246704
0.26,0.246071,0.000306912,0.246117
0.28,0.24543,0.000326716,0.245483
0.3,0.244742,0.000345879,0.244803
0.32,0.244007,0.000364389,0.244077
0.34,0.243227,0.000382232,0.243306
0.36,0.242401,0.000399398,0.24249
0.38,0.24153,0.000415875,0.241629
0.4,0.240615,0.000431656,0.240725
0.42,0.239657,0.000446732,0.239778
0.44,0.238655,0.000461097,0.238788
0.46,0.237611,0.000474745,0.237757
0.48,0.236525,0.000487673,0.236684
0.5,0.235399,0.000499878,0.23557
0.52,0.234232,0.000511357,0.234417
0.54,0.233025,0.00052211,0.233225
0.56,0.23178,0.000532138,0.231994
0.58,0.230497,0.000541442,0.230726
0.6,0.229176,0.000550025,0.229421
0.62,0.227819,0.000557891,0.22808
0.64,0.226427,0.000565044,0.226704
0.66,0.225,0.000571492,0.225293
0.68,0.22354,0.000577241,0.223849
0.7,0.222046,0.000582299,0.222372
0.72,0.220521,0.000586676,0.220864
0.74,0.218965,0.000590382,0.219325
0.76,0.217379,0.000593429,0.217756
0.78,0.215763,0.000595829,0.216157
0.8,0.21412,0.000597596,0.214531
0.82,0.212449,0.000598744,0.212878
0.84,0.210752,0.000599289,0.211198
0.86,0.20903,0.000599247,0.209493
0.88,0.207284,0.000598635,0.207764
0.9,0.205514,0.000597473,0.206011
0.92,0.203722,0.000595778,0.204236
0.94,0.201909,0.00059357,0.20244
0.96,0.200076,0.000590871,0.200623
0.98,0.198223,0.000587702,0.198786
1,0.196352,0.000584085,0.196931
1.02,0.194464,0.000580042,0.195058
1.04,0.19256,0.000575597,0.193169
1.06,0.19064,0.000570775,0.191264
1.08,0.188706,0.000565599,0.189344
1.1,0.186759,0.000560094,0.18741
1.12,0.184799,0.000554286,0.185464
1.14,0.182828,0.000548201,0.183505
1.16,0.180847,0.000541864,0.181536
1.18,0.178856,0.000535302,0.179556
1.2,0.176857,0.00052854,0.177567
1.22,0.17485,0.000521607,0.175571
1.24,0.172836,0.000514527,0.173566
1.26,0.170817,0.000507329,0.171556
1.28,0.168793,0.000500037,0.169539
